商品名,ブランド名,価格,特徴,推奨パーソナルカラー,商品カテゴリ
リキッドファンデーション フローレスフィット,カバーマーク,7700,"シミ・ソバカスをカバーし、ツヤと潤いを保つクリームファンデーション。少量で高いカバー力を発揮し、美しい仕上がりが持続します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
ダブル ウェア ステイ イン プレイス メークアップ,エスティ ローダー,7700,"カバー力とキープ力に優れたリキッドファンデーション。汗や湿気に強く、崩れにくいのが特徴で、セミマットな仕上がりです。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
タンフリュイドエクラ マット,クレ・ド・ポー ボーテ,14300,"光を味方につけ、肌の輝きを高めるリキッドファンデーション。軽やかなつけ心地で、なめらかなマット肌を長時間持続させます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
アンリミテッド ラスティング フルイド,シュウ ウエムラ,6930,"薄づきなのに高いカバー力と自然な仕上がりを両立したリキッドファンデーション。アジア人の肌に合わせた豊富なカラー展開も魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
ファンデーション プードル ルミエール,シャネル,9020,"肌に溶け込むようになじむパウダーファンデーション。繊細な光沢感を与え、自然で明るい仕上がりが叶います。持ち運びにも便利です。",イエベ春;ブルべ夏,ベースメイク
フュージョンインク クッション コンパクト,イヴ・サンローラン,9350,"クッションタイプのファンデーションで、高いカバー力と軽いつけ心地を両立。セミマットな仕上がりで、美しい肌を長時間キープします。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
グロウ ヴェール ファンデーション,ジバンシイ,7700,"軽やかなテクスチャーで、内側から輝くようなツヤ肌を演出するリキッドファンデーション。しっとりとしたつけ心地で乾燥しにくいのが特徴です。",イエベ春;ブルべ夏,ベースメイク
フローレス ルミエール ラディアンス パーフェクティング ファンデーション,ローラ メルシエ,6600,"素肌が輝くような自然なツヤ感を演出するリキッドファンデーション。軽いつけ心地で、肌に溶け込むようになじみ、美しい仕上がりが持続します。",イエベ春;ブルべ夏;イエベ秋,ベースメイク
スタジオ フィックス フルイッド SPF 15,M·A·C,5830,"高いカバー力とマットな仕上がりで、プロのメイクアップアーティストにも愛用されるリキッドファンデーション。豊富なカラーバリエーションも魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
トーンアップクリーム,Dr.Jart+,3300,"肌色を自然にトーンアップし、透明感を与えるクリームファンデーション。敏感肌にも優しく、メイク下地としても使用可能です。",イエベ春;ブルべ夏,ベースメイク
ライトリフレクティング ファンデーション,NARS,6820,"光を反射し、肌のトーンを均一に整えるリキッドファンデーション。自然なツヤ感と軽やかなつけ心地で、素肌のような仕上がりです。",イエベ春;ブルべ夏,ベースメイク
リキッド ファンデーション SPF 20・PA++,RMK,5500,"みずみずしいテクスチャーで、肌に溶け込むようになじむリキッドファンデーション。素肌感のあるナチュラルな仕上がりで、透明感を引き出します。",イエベ春;ブルべ夏,ベースメイク
タンイドル ウルトラ ウェア リキッド,ランコム,7700,"高いカバー力と持続力を兼ね備えたリキッドファンデーション。一日中崩れにくく、セミマットな美しい仕上がりが続きます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
ザ ファンデーション,SUQQU,11000,"肌に吸い付くようなフィット感で、時間が経つほどにツヤが増すリキッドファンデーション。しっとりとしたつけ心地で、大人の肌を美しく見せます。",イエベ秋;ブルべ冬,ベースメイク
シンクロスキン ラディアントリフティング ファンデーション,SHISEIDO,6600,"肌にハリとツヤを与えるリキッドファンデーション。軽やかなテクスチャーで、肌の悩みを自然にカバーし、若々しい印象に導きます。",イエベ春;ブルべ夏,ベースメイク
リキッドファンデーション,THREE,5500,"植物オイル配合で、肌に潤いを与えながら自然なツヤ肌を叶えるリキッドファンデーション。軽やかなつけ心地で、肌に負担をかけません。",イエベ春;ブルべ夏,ベースメイク
オールアワーズ リキッド,イヴ・サンローラン,7700,"24時間*崩れにくい、高いカバー力とマットな仕上がりのリキッドファンデーション。テカリを抑え、美しい肌を長時間キープします。,*YSL調べ",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
スキンケアファンデーション,ALBION,6600,"美容液のような感覚で使えるリキッドファンデーション。肌に潤いを与えながら、自然なツヤと透明感のある仕上がりを叶えます。",イエベ春;ブルべ夏,ベースメイク
エバーラスティング クッションファンデーション,CLARINS,6600,"高いカバー力とロングラスティング効果を兼ね備えたクッションファンデーション。肌に潤いを与えながら、美しい仕上がりが長時間持続させます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
インテグレート プロフィニッシュリキッド,インテグレート,1760,"毛穴・色ムラをしっかりカバーし、プロが仕上げたような美しい肌を叶えるリキッドファンデーション。軽やかなつけ心地で、肌にフィットします。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
エッセンス スキングロウ ファンデーション,ディオール,9900,"美容液成分を豊富に配合し、内側から輝くようなツヤ肌を叶えるリキッドファンデーション。軽やかなつけ心地で、肌に潤いを与えます。",イエベ春;ブルべ夏,ベースメイク
ピュア キャンバス パワー プライマー プロテクティング,ローラ メルシエ,5280,"肌の凹凸をなめらかに整え、ファンデーションのノリと持ちを良くするプライマー。SPF30・PA+++で紫外線からも肌を守ります。",全パーソナルカラー,ベースメイク
タン・クチュール・クッション,ジバンシイ,8250,"肌に溶け込むようになじみ、自然なツヤとカバー力を両立したクッションファンデーション。持ち運びにも便利なコンパクトタイプです。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
ザ リキッド ファンデーション,Amplitude,9900,"素肌が透けるような透明感と、洗練されたツヤを演出するリキッドファンデーション。軽やかなテクスチャーで、肌に溶け込むようになじみます。",イエベ春;ブルべ夏,ベースメイク
グローイングシールド ファンデーション,KANEBO,6050,"肌に光の膜を張ったように、明るくツヤやかな肌を演出するリキッドファンデーション。乾燥から肌を守り、しっとりとした仕上がりが続きます。",イエベ春;ブルべ夏;イエベ秋,ベースメイク
フローレスフィット リフィル,カバーマーク,5500,"シミ・ソバカスをカバーし、ツヤと潤いを保つクリームファンデーションのリフィル。少量で高いカバー力を発揮し、美しい仕上がりが持続します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
シンクロスキン セルフリフレッシング ファンデーション,SHISEIDO,6600,"汗や皮脂、動きに強い、崩れにくいリキッドファンデーション。自然な仕上がりで、美しい肌を長時間キープします。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
リキッドファンデーション,Koh Gen Do,5280,"肌への優しさにこだわり、自然なツヤと透明感を演出するリキッドファンデーション。乾燥肌の方にもおすすめです。",イエベ春;ブルべ夏,ベースメイク
ディエム クルール カラーブレンドファンデーション,ポーラ,10450,"肌の色の悩みに合わせて色をブレンドし、自然な透明感と血色感を演出するパウダーファンデーション。肌に溶け込むようになじみます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,ベースメイク
スキン ヴェール ファンデーション N,エレガンス,7700,"肌に溶け込むようになじみ、きめ細かく美しい肌を演出するリキッドファンデーション。軽やかなつけ心地で、肌に負担をかけません。",イエベ春;ブルべ夏,ベースメイク
リップモンスター,KATE,1760,"つけたての色が長時間持続する、落ちにくい高発色リップ。潤いもキープし、マスク着用時にも最適です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
ディオール アディクト リップ マキシマイザー,Dior,4620,"瞬時にふっくらとした唇を叶えるプランプリップグロス。豊富なカラーと、ミントのような爽やかな使用感が特徴です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
ルージュ ココ ボーム,シャネル,4950,"唇を優しくケアしながら、自然な血色感とツヤを与えるリップバーム。軽やかなつけ心地で、日常使いに最適です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップスティック,M·A·C,3630,"豊富なカラーと質感のバリエーションが魅力のリップスティック。高発色で、様々なメイクルックに対応します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
ピュア カラー エンヴィ リップスティック,エスティ ローダー,4400,"鮮やかな発色とクリーミーなテクスチャーで、唇を美しく彩るリップスティック。長時間潤いが持続します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
ヴォリュプテ シャイン,イヴ・サンローラン,4950,"とろけるようなつけ心地と、シアーな発色が魅力のリップスティック。マンゴーの香りで、使うたびに気分が上がります。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
コンフォート リップオイル,CLARINS,3850,"植物由来のオイルで唇を包み込み、潤いとツヤを与えるリップオイル。べたつかず、ふっくらとした唇に導きます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
